SESSION,ANIMAL_ID,SO,LOC_ID,SEX
1,1,5,9,M
1,1,6,10,M
1,1,32,9,M
1,1,33,9,M
1,1,41,9,M
1,1,46,9,M
1,1,46,8,M
1,1,50,44,M
1,1,50,10,M
1,1,50,32,M
1,1,51,9,M
1,1,54,10,M
1,1,56,10,M
1,1,56,32,M
1,1,57,10,M
1,1,59,10,M
1,1,59,32,M
1,1,60,32,M
1,1,62,11,M
1,1,65,9,M
1,1,65,32,M
1,1,74,32,M
1,1,76,9,M
1,1,77,32,M
1,1,77,6,M
1,1,79,11,M
1,1,81,4,M
1,1,81,5,M
1,1,81,6,M
1,1,82,32,M
1,2,6,8,M
1,2,6,10,M
1,2,8,14,M
1,2,9,21,M
1,2,14,20,M
1,2,19,13,M
1,2,22,14,M
1,2,23,14,M
1,2,28,40,M
1,2,28,32,M
1,2,29,12,M
1,2,29,23,M
1,2,31,26,M
1,2,32,14,M
1,2,34,22,M
1,2,34,45,M
1,2,34,10,M
1,2,40,40,M
1,2,43,32,M
1,2,45,11,M
1,2,45,10,M
1,2,47,14,M
1,2,48,22,M
1,2,59,13,M
1,2,64,33,M
1,2,68,13,M
1,2,68,11,M
1,2,74,22,M
1,2,79,14,M
1,2,80,45,M
1,3,8,13,M
1,3,9,21,M
1,3,19,13,M
1,3,34,45,M
1,3,34,11,M
1,3,34,10,M
1,3,36,4,M
1,3,36,5,M
1,3,43,32,M
1,3,48,6,M
1,3,49,32,M
1,3,54,14,M
1,3,55,14,M
1,3,68,10,M
1,3,68,44,M
1,3,71,40,M
1,3,77,45,M
1,3,80,6,M
1,4,6,25,M
1,4,26,5,M
1,4,41,19,M
1,4,47,18,M
1,4,54,26,M
1,4,76,25,M
1,4,81,19,M
1,5,17,8,M
1,5,26,5,M
1,5,47,18,M
1,5,59,13,M
1,5,62,21,M
1,5,65,19,M
1,5,74,26,M
1,5,76,21,M
1,5,76,25,M
1,5,81,37,M
1,5,81,19,M
1,6,17,8,M
1,6,24,5,M
1,6,26,5,M
1,6,31,17,M
1,6,35,17,M
1,6,43,18,M
1,6,59,13,M
1,6,65,19,M
1,6,74,26,M
1,6,76,25,M
1,7,13,19,M
1,7,17,8,M
1,7,24,5,M
1,7,47,18,M
1,7,59,12,M
1,7,74,26,M
1,7,76,25,M
1,8,2,15,M
1,8,9,38,M
1,8,13,38,M
1,8,40,2,M
1,8,54,38,M
1,9,6,8,M
1,9,7,23,M
1,9,7,27,M
1,9,9,27,M
1,9,14,23,M
1,9,16,23,M
1,9,16,27,M
1,9,18,29,M
1,9,21,23,M
1,9,41,27,M
1,9,41,23,M
1,9,42,24,M
1,9,60,23,M
1,10,20,28,M
1,10,61,28,M
1,11,46,27,M
1,11,49,10,M
1,11,57,43,M
1,11,63,43,M
1,11,67,39,M
1,11,70,43,M
1,12,2,18,M
1,12,25,17,M
1,12,25,15,M
1,12,25,1,M
1,12,29,18,M
1,13,7,1,M
1,13,8,2,M
1,13,12,17,M
1,13,13,38,M
1,13,14,38,M
1,13,16,16,M
1,13,17,1,M
1,13,17,15,M
1,13,38,2,M
1,13,40,2,M
1,13,42,2,M
1,13,53,37,M
1,13,54,38,M
1,13,82,38,M
1,13,82,15,M
1,14,9,27,M
1,15,12,27,M
1,15,14,31,M
1,15,37,10,M
1,16,63,43,M
1,17,31,25,M
1,17,40,40,M
1,17,48,6,M
1,18,19,13,M
1,19,2,11,F
1,19,21,39,F
1,19,37,10,F
1,19,58,22,F
1,19,79,22,F
1,19,15,11,F
1,19,16,22,F
1,19,61,11,F
1,19,26,12,F
1,19,50,23,F
1,19,14,31,F
1,19,49,10,F
1,19,46,27,F
1,19,61,45,F
1,19,12,27,F
1,19,79,12,F
1,20,2,11,F
1,20,21,39,F
1,20,37,10,F
1,20,58,22,F
1,20,79,22,F
1,20,15,11,F
1,20,16,22,F
1,20,61,11,F
1,20,26,12,F
1,20,50,23,F
1,20,14,31,F
1,20,49,10,F
1,20,46,27,F
1,20,61,45,F
1,20,12,27,F
1,20,79,12,F
1,21,2,11,F
1,21,21,39,F
1,21,37,10,F
1,21,58,22,F
1,21,79,22,F
1,21,15,11,F
1,21,16,22,F
1,21,61,11,F
1,21,26,12,F
1,21,50,23,F
1,21,14,31,F
1,21,49,10,F
1,21,46,27,F
1,21,61,45,F
1,21,12,27,F
1,21,79,12,F
1,22,2,11,F
1,22,21,39,F
1,22,37,10,F
1,22,58,22,F
1,22,79,22,F
1,22,15,11,F
1,22,16,22,F
1,22,61,11,F
1,22,26,12,F
1,22,50,23,F
1,22,14,31,F
1,22,49,10,F
1,22,46,27,F
1,22,61,45,F
1,22,12,27,F
1,22,79,12,F
1,23,9,27,F
1,23,20,28,F
1,23,22,28,F
1,23,35,28,F
1,23,40,28,F
1,23,52,28,F
1,24,9,27,F
1,24,20,28,F
1,24,22,28,F
1,24,35,28,F
1,24,40,28,F
1,24,52,28,F
1,25,9,27,F
1,25,20,28,F
1,25,22,28,F
1,25,35,28,F
1,25,40,28,F
1,25,52,28,F
1,26,9,27,F
1,26,20,28,F
1,26,22,28,F
1,26,35,28,F
1,26,40,28,F
1,26,52,28,F
1,27,2,11,F
1,27,21,39,F
1,27,37,10,F
1,27,58,22,F
1,27,79,22,F
1,27,15,11,F
1,27,16,22,F
1,27,61,11,F
1,27,26,12,F
1,27,50,23,F
1,27,14,31,F
1,27,49,10,F
1,27,46,27,F
1,27,61,45,F
1,27,12,27,F
1,27,79,12,F
1,28,2,11,F
1,28,21,39,F
1,28,37,10,F
1,28,58,22,F
1,28,79,22,F
1,28,15,11,F
1,28,16,22,F
1,28,61,11,F
1,28,26,12,F
1,28,50,23,F
1,28,14,31,F
1,28,49,10,F
1,28,12,27,F
1,28,46,27,F
1,28,61,45,F
1,28,79,12,F
1,29,2,11,F
1,29,21,39,F
1,29,37,10,F
1,29,58,22,F
1,29,79,22,F
1,29,15,11,F
1,29,16,22,F
1,29,61,11,F
1,29,26,12,F
1,29,50,23,F
1,29,14,31,F
1,29,49,10,F
1,29,46,27,F
1,29,61,45,F
1,29,12,27,F
1,29,79,12,F
1,30,2,11,F
1,30,21,39,F
1,30,37,10,F
1,30,58,22,F
1,30,79,22,F
1,30,15,11,F
1,30,16,22,F
1,30,61,11,F
1,30,26,12,F
1,30,50,23,F
1,30,14,31,F
1,30,49,10,F
1,30,46,27,F
1,30,61,45,F
1,30,12,27,F
1,30,79,12,F
1,31,2,11,F
1,31,21,39,F
1,31,37,10,F
1,31,58,22,F
1,31,79,22,F
1,31,15,11,F
1,31,16,22,F
1,31,61,11,F
1,31,26,12,F
1,31,50,23,F
1,31,14,31,F
1,31,49,10,F
1,31,46,27,F
1,31,61,45,F
1,31,12,27,F
1,31,79,12,F
1,32,7,1,F
1,32,8,2,F
1,32,8,1,F
1,32,9,2,F
1,32,9,38,F
1,32,12,38,F
1,32,12,1,F
1,32,13,38,F
1,32,14,3,F
1,32,14,2,F
1,32,14,1,F
1,32,17,1,F
1,32,30,1,F
1,32,30,2,F
1,32,32,1,F
1,32,33,1,F
1,32,38,2,F
1,32,40,2,F
1,32,81,38,F
1,33,5,14,F
1,33,7,14,F
1,33,9,21,F
1,33,14,14,F
1,33,20,25,F
1,33,21,10,F
1,33,22,13,F
1,33,22,14,F
1,33,28,40,F
1,33,28,32,F
1,33,30,9,F
1,33,32,13,F
1,33,33,14,F
1,33,34,45,F
1,33,34,10,F
1,33,34,22,F
1,33,34,11,F
1,33,35,14,F
1,33,36,4,F
1,33,36,5,F
1,33,40,40,F
1,33,43,32,F
1,33,47,4,F
1,33,47,32,F
1,33,48,6,F
1,33,49,32,F
1,33,55,14,F
1,33,56,25,F
1,33,57,25,F
1,33,65,6,F
1,33,68,10,F
1,33,71,40,F
1,33,77,45,F
1,33,80,6,F
1,34,5,14,F
1,34,7,14,F
1,34,9,21,F
1,34,14,14,F
1,34,20,25,F
1,34,21,10,F
1,34,22,13,F
